PASTE YOUR CHAPTER LIST TEXT HERE (exactly as you copied it)

BNI Coimbatore	Link
BNI Garuda	https://bni-hyderabadwest.in/en-IN/chapterdetail?chapterId=IM6RYbYIH2DlZUOrGt6aLA%3D%3D&name=Garuda
BNI Neev	https://bni-hyderabadwest.in/en-IN/chapterdetail?chapterId=oyDFJ55sc7hmRfTKaJt2ew%3D%3D&name=Neev
BNI Amrutha	https://bni-hyderabadwest.in/en-IN/chapterdetail?chapterId=9Bwd72nvUNAP3DQVb69ANA%3D%3D&name=Amrutha
BNI Artha	https://bni-hyderabadwest.in/en-IN/chapterdetail?chapterId=igii9RDUfiYExhvmKgu8rw%3D%3D&name=Artha
 	 
BNI East Godavari	 
 	 
BNI Amigos	https://bni-eastgodavari.in/east-godavari-bni-amigos/en-IN/memberlist?chapterName=25398&regionIds=25122$isChapterwebsite
BNI Challengers	https://bni-eastgodavari.in/east-godavari-bni-challengers/en-IN/memberlist?chapterName=27725&regionIds=25122$isChapterwebsite
BNI Dazzlers	https://bni-eastgodavari.in/east-godavari-bni-dazzlers/en-IN/memberlist?chapterName=28388&regionIds=25122$isChapterwebsite
BNI Falcons	https://bni-eastgodavari.in/east-godavari-falcons/en-IN/memberlist?chapterName=33425&regionIds=25122$isChapterwebsite
 	 
BNI Agra	 
Chapters are there but members are not listed out.	 
 	 
BNI AHMEDABAD	 
 	 
BNI Aegeus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=wI70nJwQg8DjBtdNi2Lgmg%3D%3D&name=BNI%20Aegeus
BNI Calibos	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=40kSkgToZilCC0eWuSCrZw%3D%3D&name=BNI%20Calibos
BNI Vitus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=mt15B3CFVBK78iecY2dGdA%3D%3D&name=BNI%20Vitus
BNI Aegeus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=wI70nJwQg8DjBtdNi2Lgmg%3D%3D&name=BNI%20Aegeus
BNI Petronius	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=PKDQK%2BS6B8zdIxuxl0zUlA%3D%3D&name=Petronius
BNI Crypto	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=fWhMzX6i%2BEQmKt4Pk5uY0A%3D%3D&name=BNI%20Crypto
BNI Obsidian	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=RoA1S9YWiv8ZhM6mq8X0Yg%3D%3D&name=Obsidian
BNI Oliver	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=Dh7dIRKF6zSz%2BCNRjQxmLg%3D%3D&name=BNI%20Oliver
BNI Crios	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=n3AWrx1a7dcgazlJdFVyjA%3D%3D&name=Crios
BNI Ares	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=%2FKPyYcF1xtuordfDpjwuBQ%3D%3D&name=Ares
BNI Darius	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=ncXdIRcFelotR77Ez5b9xQ%3D%3D&name=Darius
BNI Anatolius	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=%2FJMaCR%2BB6xy2P53Zuf83yw%3D%3D&name=BNI%20Anatolius
BNI Prometheus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=zAzN2bGuG5XoEE8fM2mZxg%3D%3D&name=Prometheus
BNI Helenus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=Lrf7qtGSBiOtQR4a%2FcRhqA%3D%3D&name=Helenus
BNI Artemisia	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=hdfmloXApIgbBGC3hbF7qw%3D%3D&name=Artemisia
BNI Dominus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=FvCYnS497RMY0%2FDjPuteDg%3D%3D&name=Dominus
BNI Magnus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=4WsCDQtXjpWfW6xxlx%2BHYw%3D%3D&name=Magnus
BNI Aurelius	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=JanI4u2QTX1ZQvxLr6N8UQ%3D%3D&name=Aurelius
BNI Crixus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=ek%2B5vzWj4EeH1549wc5bWQ%3D%3D&name=Crixus
BNI Petra	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=IfGrrOPTIQd4ccpEPOhj%2Bg%3D%3D&name=Petra
BNI Andromeda	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=vKPnJ%2BIeCWdfWG80JwuIvA%3D%3D&name=Andromeda
BNI Acreseus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=yq6NP61ikSoSSA1eOzPUqA%3D%3D&name=Acreseus
BNI Aurelius	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=JanI4u2QTX1ZQvxLr6N8UQ%3D%3D&name=Aurelius
BNI Atilius	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=PQn44rouItHkuQye%2BfdzGA%3D%3D&name=Atilius
BNI Anthropos	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=8%2FgKJ9upcsIexHA0tuLygw%3D%3D&name=Anthropos
BNI Colossus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=glnZz1nTnoersPBS8lGEYQ%3D%3D&name=Colossus
BNI Maximus	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=8UPpnw%2FDRgdiZmJ4s0MmOA%3D%3D&name=Maximus
BNI Kronos	https://bni-ahmedabad.in/en-IN/chapterdetail?chapterId=iTgU3WcZJI1UYBMTSn4DMg%3D%3D&name=Kronos


